_id,ags2,bundesland,ags5,kreis,kr_ein_md,kr_schu_qu,kr_hh_eink_kl1,kr_hh_eink_kl2,kr_hh_eink_kl3,kr_hh_eink_kl4,kr_hh_eink_kl5,kr_hh_eink_kl6,kr_kk_hh,kr_kk_ew
133,06,Hessen,06533,Limburg-Weilburg,2982,11.0,8744,14325,25025,15760,11158,11433,47291,23780
134,06,Hessen,06534,Marburg-Biedenkopf,3331,8.0,11447,20218,38299,23290,15632,12965,45267,22324
135,06,Hessen,06535,Vogelsberg,2954,9.3,5386,8438,15537,9396,6256,5390,48356,23071
136,06,Hessen,06611,Kreisfreie Stadt Kassel,3397,15.7,18319,27861,34782,14325,8024,6301,37642,20412
137,06,Hessen,06631,Fulda,2947,7.7,9695,17317,32855,20816,14887,13976,47955,23542
138,06,Hessen,06632,Hersfeld-Rotenburg,2848,9.4,7774,10785,18106,9955,6897,5410,46633,22763
139,06,Hessen,06633,Kassel,3474,9.3,10873,19151,33586,21040,15896,15177,48963,23932
140,06,Hessen,06634,Schwalm-Eder,3013,10.0,8169,15093,27380,15862,11066,9703,48038,23334
141,06,Hessen,06635,Waldeck-Frankenberg,3071,9.9,11956,13775,21798,12869,9083,8811,46722,23388
142,06,Hessen,06636,Werra-Meißner,2821,11.4,9710,10539,14972,7491,4957,3778,43098,22034
143,07,Rheinland-Pfalz,07111,Stadt Koblenz,3354,12.6,5331,10278,19138,10732,7322,5851,44229,22745
144,07,Rheinland-Pfalz,07131,Ahrweiler,2928,8.6,6037,9516,17055,10853,8643,9553,52099,24694
145,07,Rheinland-Pfalz,07132,Altenkirchen (Ww),3059,11.5,6350,9890,18272,11531,8075,6611,48593,22911
146,07,Rheinland-Pfalz,07133,Bad Kreuznach,3141,9.9,7828,13079,21636,13694,9747,9670,48809,23320
147,07,Rheinland-Pfalz,07134,Birkenfeld,2858,10.8,7622,6751,10549,6534,4746,4947,44772,22759
148,07,Rheinland-Pfalz,07135,Cochem-Zell,2876,8.2,3504,4584,7924,5075,3897,3654,50843,23724
149,07,Rheinland-Pfalz,07137,Mayen-Koblenz,2978,10.0,7524,15832,29625,18228,13473,13995,51074,23503
150,07,Rheinland-Pfalz,07138,Neuwied,3114,10.9,8448,12787,24174,15820,11565,12169,52001,24168
151,07,Rheinland-Pfalz,07140,Rhein-Hunsrück-Kreis,3032,8.5,4560,7377,13871,9002,6823,6995,53137,25047
152,07,Rheinland-Pfalz,07141,Rhein-Lahn-Kreis,3018,10.9,6427,10616,17424,10641,7469,6799,48241,23421
153,07,Rheinland-Pfalz,07143,Westerwaldkreis,2958,11.0,4922,11107,24178,18514,15438,16063,60428,27003
154,07,Rheinland-Pfalz,07211,Stadt Trier,3153,9.9,5941,11672,19380,9903,6447,5834,41027,21769
155,07,Rheinland-Pfalz,07231,Bernkastel-Wittlich,2894,8.4,5415,8586,15077,9959,7344,6765,49533,23405
156,07,Rheinland-Pfalz,07232,Eifelkreis Bitburg-Prüm,3119,8.1,4426,6894,13390,8754,6468,6587,49752,23364
157,07,Rheinland-Pfalz,07233,Vulkaneifel,2948,8.5,4230,4785,7869,4973,3749,3480,48297,23163
158,07,Rheinland-Pfalz,07235,Trier-Saarburg,2899,6.6,4727,9069,18054,13295,11328,13206,52833,24641
159,07,Rheinland-Pfalz,07311,Stadt Frankenthal (Pfalz),3487,13.1,2597,6172,7633,2837,2180,2558,45849,22545
160,07,Rheinland-Pfalz,07312,Stadt Kaiserslautern,3407,14.9,17474,13671,11839,5331,3984,4354,35234,19955
161,07,Rheinland-Pfalz,07313,Stadt Landau in der Pfalz,3051,8.8,2076,3631,6813,3900,2869,2915,46939,22232
162,07,Rheinland-Pfalz,07314,Stadt Ludwigshafen a. Rh.,4534,15.7,7492,18455,30634,11799,6638,6648,42794,20289
163,07,Rheinland-Pfalz,07315,Stadt Mainz,3554,7.8,6249,15192,34511,23726,15136,16073,45685,23176
164,07,Rheinland-Pfalz,07316,Stadt Neustadt a.d. W.,2933,10.4,2270,3725,6358,4278,3549,5215,56456,26917
165,07,Rheinland-Pfalz,07317,Stadt Pirmasens,3031,18.2,7055,4888,4814,2204,1631,1683,37238,20618
166,07,Rheinland-Pfalz,07318,Stadt Speyer,3346,10.7,1266,3648,7210,4653,3459,4024,54593,26195
167,07,Rheinland-Pfalz,07319,Stadt Worms,3102,15.5,5822,7224,10549,6509,4920,4532,46426,21982
168,07,Rheinland-Pfalz,07320,Stadt Zweibrücken,3348,12.7,3503,3319,4291,2296,1917,2268,41683,21448
169,07,Rheinland-Pfalz,07331,Alzey-Worms,2848,9.4,3801,7776,14837,11124,9328,9986,54982,24103
170,07,Rheinland-Pfalz,07332,Bad Dürkheim,2947,9.1,5000,7772,14992,11716,10084,13876,58277,27867
171,07,Rheinland-Pfalz,07333,Donnersbergkreis,3393,11.5,3531,5256,9171,6232,4900,4677,50931,22832
172,07,Rheinland-Pfalz,07334,Germersheim,3836,8.8,1995,5922,16619,11341,9438,10792,55155,23987
173,07,Rheinland-Pfalz,07335,Kaiserslautern,2892,10.6,7323,8346,14349,9494,7246,8415,43224,22502
174,07,Rheinland-Pfalz,07336,Kusel,2895,10.7,3600,6179,10657,6235,4158,3865,44525,21999
175,07,Rheinland-Pfalz,07337,Südliche Weinstraße,2986,7.9,3166,5453,11968,9676,8643,10456,56963,25442
176,07,Rheinland-Pfalz,07338,Rhein-Pfalz-Kreis,2851,7.9,2935,7592,16287,13731,12568,16357,61553,27657
177,07,Rheinland-Pfalz,07339,Mainz-Bingen,3333,8.0,3986,10397,23982,18425,16357,23185,59620,27166
178,07,Rheinland-Pfalz,07340,Südwestpfalz,2642,8.3,4895,6799,13292,8774,6214,6579,49822,24458
179,08,Baden-Württemberg,08111,Stuttgart,4351,10.4,12947,33397,79924,66986,54295,68092,53710,26660
180,08,Baden-Württemberg,08115,Böblingen,4596,6.9,5615,20638,45598,35983,31992,44978,56090,26389
181,08,Baden-Württemberg,08116,Esslingen,3740,7.3,11197,28526,68840,51703,41880,56558,54662,26431
182,08,Baden-Württemberg,08117,Göppingen,3428,8.5,9038,17630,34318,23014,18477,20618,52283,24931
183,08,Baden-Württemberg,08118,Ludwigsburg,3676,7.7,9293,24374,67502,54465,44666,59344,56853,27065
184,08,Baden-Württemberg,08119,Rems-Murr-Kreis,3425,8.1,9735,22025,51279,41324,35152,44741,55358,26465
185,08,Baden-Württemberg,08121,"Heilbronn, Stadt",3372,11.2,1333,4974,16064,15108,11832,14988,74661,37922
186,08,Baden-Württemberg,08125,"Heilbronn, Kreis",3771,7.2,8016,16528,39887,31136,27297,33112,56738,25692
187,08,Baden-Württemberg,08126,Hohenlohekreis,3559,6.4,3896,6858,13161,9651,8576,9645,55092,25326
188,08,Baden-Württemberg,08127,Schwäbisch Hall,3283,7.1,8656,12971,23977,16626,13265,15209,52692,24290
189,08,Baden-Württemberg,08128,Main-Tauber-Kreis,3189,6.3,7253,9213,15641,11021,8602,9788,52458,24374
190,08,Baden-Württemberg,08135,Heidenheim,3580,8.4,6443,10129,15897,11238,8756,9171,51254,23792
191,08,Baden-Württemberg,08136,Ostalbkreis,3672,7.2,15274,17859,34811,26826,23861,28720,54193,25429
192,08,Baden-Württemberg,08211,Baden-Baden,3303,10.1,920,2683,8046,6096,5005,6980,62090,33450
193,08,Baden-Württemberg,08212,"Karlsruhe, Stadt",3682,9.4,7723,21391,48142,37137,23820,19630,46845,23695
194,08,Baden-Württemberg,08215,"Karlsruhe, Kreis",3341,7.7,11121,23055,52659,39434,36315,43895,54111,25101
195,08,Baden-Württemberg,08216,Rastatt,3764,7.7,7099,14572,29049,20157,17293,19720,52407,24433
196,08,Baden-Württemberg,08221,Heidelberg,3718,6.3,3799,7171,21453,17955,15888,16325,47772,24433
197,08,Baden-Württemberg,08222,Mannheim,3829,14.0,14677,34891,61568,28245,16270,14414,41522,22730
198,08,Baden-Württemberg,08225,Neckar-Odenwald-Kreis,3148,8.0,6233,9802,18782,13117,9519,9100,50591,23442
199,08,Baden-Württemberg,08226,Rhein-Neckar-Kreis,3517,8.1,16036,35334,70777,49983,42741,54142,53327,26161
200,08,Baden-Württemberg,08231,Pforzheim,3249,14.6,4662,12110,24049,9658,5954,6297,46488,23152
201,08,Baden-Württemberg,08235,Calw,3187,8.6,9884,10598,17245,13316,12167,13506,52131,25121
202,08,Baden-Württemberg,08236,Enzkreis,3275,7.2,4442,9911,21681,17973,16726,20503,58711,26842
203,08,Baden-Württemberg,08237,Freudenstadt,3396,7.6,6082,6726,13845,9993,8400,9299,55768,25631
204,08,Baden-Württemberg,08311,Freiburg im Breisgau,3471,8.1,3331,15136,34492,26349,22141,18453,44034,22837
205,08,Baden-Württemberg,08315,Breisgau-Hochschwarzwald,3086,7.2,4288,11118,32139,27253,22971,26191,54584,25669
206,08,Baden-Württemberg,08316,Emmendingen,3203,7.1,2357,7685,21100,16853,13375,15087,52766,24244
207,08,Baden-Württemberg,08317,Ortenaukreis,3189,8.3,12895,25424,52818,39411,33680,35367,53179,24630
208,08,Baden-Württemberg,08325,Rottweil,3382,8.0,5893,8666,16054,11989,9804,11709,56933,26096
209,08,Baden-Württemberg,08326,Schwarzwald-Baar-Kreis,3271,9.2,11030,15073,28161,19018,14469,15382,53215,25826
210,08,Baden-Württemberg,08327,Tuttlingen,3493,9.2,3917,7963,17005,12363,10338,11840,59453,26788
211,08,Baden-Württemberg,08335,Konstanz,3267,10.2,7999,18118,37717,28610,24798,29074,51403,26269
212,08,Baden-Württemberg,08336,Lörrach,3382,8.8,4080,12109,29233,21270,18747,24997,58891,28433
213,08,Baden-Württemberg,08337,Waldshut,3117,8.9,5265,10692,22162,15502,12840,15136,55447,26457
214,08,Baden-Württemberg,08415,Reutlingen,3496,7.8,6991,15702,35879,25146,22762,27512,54836,25598
215,08,Baden-Württemberg,08416,Tübingen,3484,6.0,7519,14234,28426,21287,18227,22896,49261,24254
216,08,Baden-Württemberg,08417,Zollernalbkreis,3261,8.3,9863,11324,21269,15557,13505,16950,56876,26572
217,08,Baden-Württemberg,08421,Ulm,3650,8.3,3726,8695,17727,12937,9796,12448,51539,26555
218,08,Baden-Württemberg,08425,Alb-Donau-Kreis,3239,6.3,5834,10115,21591,17332,15887,18493,54107,24504
219,08,Baden-Württemberg,08426,Biberach,3716,6.5,9384,11648,20386,15529,15138,19448,54254,24672
220,08,Baden-Württemberg,08435,Bodenseekreis,3896,7.3,3659,12312,26882,20171,18083,26539,55094,27271
221,08,Baden-Württemberg,08436,Ravensburg,3250,7.0,11890,15218,30745,22604,22356,29355,53701,24867
222,08,Baden-Württemberg,08437,Sigmaringen,3288,9.1,5935,8769,15800,11163,9219,9366,51435,23684
223,09,Freistaat Bayern,09161,Ingolstadt,4635,7.2,4448,8662,16138,10417,10622,17449,50755,25023
224,09,Freistaat Bayern,09162,"München, Landeshauptstadt",4169,9.0,7885,40427,154461,153910,182273,280434,60713,33517
225,09,Freistaat Bayern,09163,"Rosenheim, Stadt",3291,10.3,1909,5212,9933,5932,4657,6046,45541,24142
226,09,Freistaat Bayern,09171,Altötting,3524,6.9,5600,7449,11778,8225,8540,11114,50882,24049
227,09,Freistaat Bayern,09172,Berchtesgadener Land,2923,6.7,4488,9119,13933,7122,7211,10915,46657,23251
228,09,Freistaat Bayern,09173,Bad Tölz-Wolfratshausen,3104,6.7,1241,4716,14573,10650,9700,20747,57089,27504
229,09,Freistaat Bayern,09174,Dachau,3085,6.1,1512,4256,12206,12788,15844,23817,58310,26510
230,09,Freistaat Bayern,09175,Ebersberg,3103,5.8,1202,3584,11619,9860,13081,25674,62036,28079
231,09,Freistaat Bayern,09176,Eichstätt,3219,3.7,2380,4916,10697,10068,12142,18803,57460,25515
232,09,Freistaat Bayern,09177,Erding,2936,6.3,2171,6137,12004,9936,11459,19831,58221,25928
233,09,Freistaat Bayern,09178,Freising,3440,7.0,2722,7220,18746,16834,16521,22700,53428,25153
234,09,Freistaat Bayern,09179,Fürstenfeldbruck,3164,6.5,2411,7898,20114,17222,20453,34243,58379,27242
235,09,Freistaat Bayern,09180,Garmisch-Partenkirchen,2843,7.5,2668,6149,12383,8109,7348,11918,46810,25715
236,09,Freistaat Bayern,09181,Landsberg am Lech,3308,5.7,3286,4487,10196,9029,10774,18917,56870,26798
