_id,ags2,bundesland,datum,m_code_m01a,m_code_m01b,m_code_m02a,m_code_m02b,m_code_m03,m_code_m04,m_code_m05,m_code_m06,m_code_m07,m_code_m08,m_code_m09,m_code_m10,m_code_m11,m_code_m12,m_code_m13,m_code_m14,m_code_m15,m_code_m16,m_code_m17,m_code_m18,m_code_m19,m_code_m20,m_code_m21
94,01,Schleswig-Holstein,2020-06-02,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
95,01,Schleswig-Holstein,2020-06-03,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
96,01,Schleswig-Holstein,2020-06-04,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
97,01,Schleswig-Holstein,2020-06-05,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
98,01,Schleswig-Holstein,2020-06-06,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
99,01,Schleswig-Holstein,2020-06-07,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
100,01,Schleswig-Holstein,2020-06-08,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
101,01,Schleswig-Holstein,2020-06-09,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
102,01,Schleswig-Holstein,2020-06-10,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
103,01,Schleswig-Holstein,2020-06-11,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
104,01,Schleswig-Holstein,2020-06-12,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
105,01,Schleswig-Holstein,2020-06-13,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
106,01,Schleswig-Holstein,2020-06-14,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
107,01,Schleswig-Holstein,2020-06-15,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
108,01,Schleswig-Holstein,2020-06-16,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
109,01,Schleswig-Holstein,2020-06-17,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
110,01,Schleswig-Holstein,2020-06-18,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
111,01,Schleswig-Holstein,2020-06-19,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
112,01,Schleswig-Holstein,2020-06-20,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
113,01,Schleswig-Holstein,2020-06-21,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
114,01,Schleswig-Holstein,2020-06-22,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
115,01,Schleswig-Holstein,2020-06-23,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
116,01,Schleswig-Holstein,2020-06-24,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
117,01,Schleswig-Holstein,2020-06-25,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
118,01,Schleswig-Holstein,2020-06-26,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
119,01,Schleswig-Holstein,2020-06-27,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
120,01,Schleswig-Holstein,2020-06-28,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
121,01,Schleswig-Holstein,2020-06-29,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
122,01,Schleswig-Holstein,2020-06-30,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
123,01,Schleswig-Holstein,2020-07-01,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
124,01,Schleswig-Holstein,2020-07-02,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
125,01,Schleswig-Holstein,2020-07-03,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
126,01,Schleswig-Holstein,2020-07-04,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
127,01,Schleswig-Holstein,2020-07-05,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
128,01,Schleswig-Holstein,2020-07-06,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
129,01,Schleswig-Holstein,2020-07-07,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
130,01,Schleswig-Holstein,2020-07-08,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
131,01,Schleswig-Holstein,2020-07-09,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
132,01,Schleswig-Holstein,2020-07-10,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
133,01,Schleswig-Holstein,2020-07-11,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
134,01,Schleswig-Holstein,2020-07-12,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
135,01,Schleswig-Holstein,2020-07-13,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
136,01,Schleswig-Holstein,2020-07-14,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
137,01,Schleswig-Holstein,2020-07-15,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
138,01,Schleswig-Holstein,2020-07-16,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
139,01,Schleswig-Holstein,2020-07-17,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
140,01,Schleswig-Holstein,2020-07-18,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
141,01,Schleswig-Holstein,2020-07-19,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
142,01,Schleswig-Holstein,2020-07-20,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
143,01,Schleswig-Holstein,2020-07-21,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
144,01,Schleswig-Holstein,2020-07-22,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
145,01,Schleswig-Holstein,2020-07-23,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
146,01,Schleswig-Holstein,2020-07-24,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
147,01,Schleswig-Holstein,2020-07-25,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
148,01,Schleswig-Holstein,2020-07-26,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
149,01,Schleswig-Holstein,2020-07-27,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
150,01,Schleswig-Holstein,2020-07-28,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
151,01,Schleswig-Holstein,2020-07-29,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
