_id,ags2,bundesland,ags5,kreis,kr_pkw_dichte
312,09,Freistaat Bayern,09774,Günzburg,601
313,09,Freistaat Bayern,09775,Neu-Ulm,576
314,09,Freistaat Bayern,09776,Lindau (Bodensee),580
315,09,Freistaat Bayern,09777,Ostallgäu,604
316,09,Freistaat Bayern,09778,Unterallgäu,635
317,09,Freistaat Bayern,09779,Donau-Ries,633
318,09,Freistaat Bayern,09780,Oberallgäu,597
319,10,Saarland,10041,Regionalverband Saarbrücken,529
320,10,Saarland,10042,Landkreis Merzig-Wadern,657
321,10,Saarland,10043,Landkreis Neunkirchen,618
322,10,Saarland,10044,Landkreis Saarlouis,646
323,10,Saarland,10045,Saarpfalz-Kreis,637
324,10,Saarland,10046,Landkreis St. Wendel,672
325,11,Berlin,11000,Berlin,291
326,12,Brandenburg,12051,Brandenburg an der Havel,438
327,12,Brandenburg,12052,Cottbus,438
328,12,Brandenburg,12053,Frankfurt (Oder),441
329,12,Brandenburg,12054,Potsdam,379
330,12,Brandenburg,12060,Barnim,548
331,12,Brandenburg,12061,Dahme-Spreewald,565
332,12,Brandenburg,12062,Elbe-Elster,585
333,12,Brandenburg,12063,Havelland,546
334,12,Brandenburg,12064,Märkisch-Oderland,564
335,12,Brandenburg,12065,Oberhavel,551
336,12,Brandenburg,12066,Oberspreewald-Lausitz,553
337,12,Brandenburg,12067,Oder-Spree,564
338,12,Brandenburg,12068,Ostprignitz-Ruppin,541
339,12,Brandenburg,12069,Potsdam-Mittelmark,559
340,12,Brandenburg,12070,Prignitz,545
341,12,Brandenburg,12071,Spree-Neiße,586
342,12,Brandenburg,12072,Teltow-Fläming,558
343,12,Brandenburg,12073,Uckermark,535
344,13,Mecklenburg-Vorpommern,13003,"Rostock, Hansestadt",373
345,13,Mecklenburg-Vorpommern,13004,"Schwerin, Landeshauptstadt",405
346,13,Mecklenburg-Vorpommern,13071,Mecklenburgische Seenplatte,528
347,13,Mecklenburg-Vorpommern,13072,Landkreis Rostock,543
348,13,Mecklenburg-Vorpommern,13073,Vorpommern-Rügen,510
349,13,Mecklenburg-Vorpommern,13074,Nordwestmecklenburg,544
350,13,Mecklenburg-Vorpommern,13075,Vorpommern-Greifswald,503
351,13,Mecklenburg-Vorpommern,13076,Ludwigslust-Parchim,575
352,14,Sachsen,14511,Chemnitz,446
353,14,Sachsen,14521,Erzgebirgskreis,557
354,14,Sachsen,14522,Mittelsachsen,542
355,14,Sachsen,14523,Vogtlandkreis,551
356,14,Sachsen,14524,Zwickau,539
357,14,Sachsen,14612,Dresden,357
358,14,Sachsen,14625,Bautzen,556
359,14,Sachsen,14626,Görlitz,521
360,14,Sachsen,14627,Meißen,527
361,14,Sachsen,14628,Sächsische Schweiz-Osterzgebirge,532
362,14,Sachsen,14713,"Leipzig, Stadt",346
363,14,Sachsen,14729,"Leipzig, Kreis",548
364,14,Sachsen,14730,Nordsachsen,543
365,15,Sachsen-Anhalt,15001,Dessau-Roßlau,481
366,15,Sachsen-Anhalt,15002,Halle (Saale),355
367,15,Sachsen-Anhalt,15003,Magdeburg,414
368,15,Sachsen-Anhalt,15081,Altmarkkreis Salzwedel,570
369,15,Sachsen-Anhalt,15082,Anhalt-Bitterfeld,541
370,15,Sachsen-Anhalt,15083,Börde,581
371,15,Sachsen-Anhalt,15084,Burgenlandkreis,530
372,15,Sachsen-Anhalt,15085,Harz,539
373,15,Sachsen-Anhalt,15086,Jerichower Land,565
374,15,Sachsen-Anhalt,15087,Mansfeld-Südharz,547
375,15,Sachsen-Anhalt,15088,Saalekreis,573
376,15,Sachsen-Anhalt,15089,Salzlandkreis,519
377,15,Sachsen-Anhalt,15090,Stendal,521
378,15,Sachsen-Anhalt,15091,Wittenberg,561
379,16,Thüringen,16051,Erfurt,403
380,16,Thüringen,16052,Gera,450
381,16,Thüringen,16053,Jena,360
382,16,Thüringen,16054,Suhl,497
383,16,Thüringen,16055,Weimar,403
384,16,Thüringen,16056,Eisenach,446
385,16,Thüringen,16061,Eichsfeld,570
386,16,Thüringen,16062,Nordhausen,527
387,16,Thüringen,16063,Wartburgkreis,565
388,16,Thüringen,16064,Unstrut-Hainich-Kreis,522
389,16,Thüringen,16065,Kyffhäuserkreis,563
390,16,Thüringen,16066,Schmalkalden-Meiningen,567
391,16,Thüringen,16067,Gotha,523
392,16,Thüringen,16068,Sömmerda,553
393,16,Thüringen,16069,Hildburghausen,595
394,16,Thüringen,16070,Ilm-Kreis,507
395,16,Thüringen,16071,Weimarer Land,552
396,16,Thüringen,16072,Sonneberg,560
397,16,Thüringen,16073,Saalfeld-Rudolstadt,561
398,16,Thüringen,16074,Saale-Holzland-Kreis,567
399,16,Thüringen,16075,Saale-Orla-Kreis,579
400,16,Thüringen,16076,Greiz,576
401,16,Thüringen,16077,Altenburger Land,534
