GENESIS-Tabelle: 81000-0002
VGR des Bundes - Bruttowertschöpfung, Bruttoinlandsprodukt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(nominal/preisbereinigt): Deutschland, Quartale, Original-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
und bereinigte Daten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022
;;;;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);Bruttoinlandsprodukt;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
BV4.1 kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);Bruttowertschöpfung;jew. ME;696,516;703,574;706,284;711,765;722,114;730,978;743,178;750,163;751,835;760,669;759,625;764,941;776,211;786,993;786,599;782,470;781,796;719,970;771,966;772,262;779,397;805,794;821,175;814,884;825,810;...;...;...
BV4.1 kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);Gütersteuern abzügl. Gütersubventionen;jew. ME;77,354;77,882;78,662;79,006;80,755;79,964;80,474;82,095;82,153;81,831;82,398;86,286;87,269;80,176;83,607;90,624;89,461;72,553;71,279;82,819;84,968;77,064;82,799;98,768;104,864;...;...;...
BV4.1 kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);     Gütersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BV4.1 kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);     Gütersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BV4.1 kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);Bruttoinlandsprodukt;jew. ME;773,870;781,456;784,946;790,771;802,869;810,942;823,652;832,258;833,988;842,500;842,023;851,227;863,480;867,169;870,206;873,094;871,257;792,523;843,245;855,081;864,365;882,858;903,974;913,652;930,674;...;...;...
BV4.1 kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;0,9;1,0;0,4;0,7;1,5;1,0;1,6;1,0;0,2;1,0;-0,1;1,1;1,4;0,4;0,4;0,3;-0,2;-9,0;6,4;1,4;1,1;2,1;2,4;1,1;1,9;...;...;...
BV4.1 kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;9414,000;9494,000;9526,000;9587,000;9727,000;9814,000;9960,000;10058,000;10070,000;10167,000;10152,000;10256,000;10399,000;10437,000;10470,000;10501,000;10476,000;9530,000;10140,000;10283,000;10394,000;10614,000;10864,000;10976,000;11180,000;...;...;...
BV4.1 kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);Bruttowertschöpfung;jew. ME;101,440;102,080;102,290;102,700;103,860;104,640;105,870;106,700;106,140;106,800;106,190;106,530;107,440;107,880;107,540;106,870;105,590;95,610;103,270;103,270;102,360;105,380;106,680;104,790;105,780;...;...;...
BV4.1 kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);Gütersteuern abzügl. Gütersubventionen;jew. ME;102,140;101,380;102,390;102,100;103,660;103,540;103,460;104,490;104,940;103,910;104,690;105,720;109,630;101,290;105,240;108,360;111,090;92,000;101,960;110,870;116,380;100,000;99,030;114,580;122,690;...;...;...
BV4.1 kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);     Gütersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BV4.1 kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);     Gütersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BV4.1 kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);Bruttoinlandsprodukt;jew. ME;101,510;102,010;102,300;102,640;103,840;104,530;105,630;106,480;106,020;106,510;106,040;106,450;107,660;107,220;107,310;107,020;106,140;95,250;103,140;104,030;103,670;104,900;105,990;105,710;107,380;...;...;...
