_id,ags2,bundesland,ags5,kreis,kr_arm_alt,kr_sgb_qu,kr_arm_kind
238,09,freistaat bayern,09183,muehldorf a.inn,3.0,6.3,7.0
239,09,freistaat bayern,09184,muenchen,2.2,3.8,4.8
240,09,freistaat bayern,09185,neuburg-schrobenhausen,1.5,3.7,3.8
241,09,freistaat bayern,09186,pfaffenhofen a.d.ilm,1.7,2.8,2.3
242,09,freistaat bayern,09187,rosenheim,2.5,4.0,3.8
243,09,freistaat bayern,09188,starnberg,1.9,3.3,3.7
244,09,freistaat bayern,09189,traunstein,2.3,4.4,4.1
245,09,freistaat bayern,09190,weilheim-schongau,1.9,4.9,4.9
246,09,freistaat bayern,09261,landshut,3.6,7.5,9.4
247,09,freistaat bayern,09262,passau,3.5,9.4,12.1
248,09,freistaat bayern,09263,straubing,6.6,11.8,12.2
249,09,freistaat bayern,09271,deggendorf,2.5,4.8,5.5
250,09,freistaat bayern,09272,freyung-grafenau,1.7,3.9,3.6
251,09,freistaat bayern,09273,kelheim,1.6,3.6,3.4
252,09,freistaat bayern,09274,landshut,1.2,3.0,3.2
253,09,freistaat bayern,09275,passau,2.0,4.7,6.6
254,09,freistaat bayern,09276,regen,1.6,4.9,6.3
255,09,freistaat bayern,09277,rottal-inn,1.8,4.4,5.7
256,09,freistaat bayern,09278,straubing-bogen,1.4,3.3,3.8
257,09,freistaat bayern,09279,dingolfing-landau,1.6,3.3,3.4
258,09,freistaat bayern,09361,amberg,4.3,9.9,14.1
259,09,freistaat bayern,09362,regensburg,4.9,7.7,10.1
260,09,freistaat bayern,09363,weiden i.d.opf.,4.5,11.3,16.8
261,09,freistaat bayern,09371,amberg-sulzbach,1.9,4.5,4.7
262,09,freistaat bayern,09372,cham,1.9,4.0,4.1
263,09,freistaat bayern,09373,neumarkt i.d.opf.,1.7,3.7,3.4
264,09,freistaat bayern,09374,neustadt a.d.waldnaab,1.7,4.8,5.6
265,09,freistaat bayern,09375,regensburg,1.4,3.5,3.9
266,09,freistaat bayern,09376,schwandorf,1.8,4.7,5.6
267,09,freistaat bayern,09377,tirschenreuth,1.6,5.0,5.2
268,09,freistaat bayern,09461,bamberg,4.0,8.1,10.5
269,09,freistaat bayern,09462,bayreuth,4.5,9.5,12.5
270,09,freistaat bayern,09463,coburg,2.9,10.0,14.7
271,09,freistaat bayern,09464,hof,4.5,16.0,25.8
272,09,freistaat bayern,09471,bamberg,1.2,3.0,3.6
273,09,freistaat bayern,09472,bayreuth,1.2,3.4,4.6
274,09,freistaat bayern,09473,coburg,1.3,4.9,7.5
275,09,freistaat bayern,09474,forchheim,1.3,4.1,5.5
276,09,freistaat bayern,09475,hof,1.6,4.7,6.5
