_id,ags2,bundesland,ags5,kreis,kr_schu_kom,kr_sk,kr_us_ew
265,09,freistaat bayern,09375,regensburg,429.1,900.7,31.3
266,09,freistaat bayern,09376,schwandorf,1089.8,896.5,54.5
267,09,freistaat bayern,09377,tirschenreuth,1331.9,851.7,48.9
268,09,freistaat bayern,09461,bamberg,223.9,1085.1,115.2
269,09,freistaat bayern,09462,bayreuth,1463.5,1384.9,104.5
270,09,freistaat bayern,09463,coburg,431.7,1905.5,172.6
271,09,freistaat bayern,09464,hof,1779.8,844.4,86.2
272,09,freistaat bayern,09471,bamberg,517.4,912.7,37.4
273,09,freistaat bayern,09472,bayreuth,1722.1,771.2,35.7
274,09,freistaat bayern,09473,coburg,1094.8,816.4,59.9
275,09,freistaat bayern,09474,forchheim,867.2,887.4,35.3
276,09,freistaat bayern,09475,hof,1036.9,860.2,58.7
277,09,freistaat bayern,09476,kronach,1435.1,821.8,62.0
278,09,freistaat bayern,09477,kulmbach,1040.1,904.2,63.6
279,09,freistaat bayern,09478,lichtenfels,1691.8,870.5,69.5
280,09,freistaat bayern,09479,wunsiedel i.fichtelgebirge,2732.0,802.8,62.3
281,09,freistaat bayern,09561,ansbach,627.5,980.7,94.8
282,09,freistaat bayern,09562,erlangen,1389.1,1349.5,151.3
283,09,freistaat bayern,09563,fuerth,1765.4,960.2,72.4
284,09,freistaat bayern,09564,nuernberg,2727.0,1145.2,128.3
285,09,freistaat bayern,09565,schwabach,1219.4,1090.5,67.4
286,09,freistaat bayern,09571,ansbach,938.5,858.3,50.8
287,09,freistaat bayern,09572,erlangen-hoechstadt,688.4,1216.2,54.5
288,09,freistaat bayern,09573,fuerth,918.8,938.1,32.8
289,09,freistaat bayern,09574,nuernberger land,832.0,1033.4,51.4
290,09,freistaat bayern,09575,neustadt a.d.aisch-bad windsheim,675.2,829.0,46.9
291,09,freistaat bayern,09576,roth,453.7,935.5,43.3
292,09,freistaat bayern,09577,weissenburg-gunzenhausen,638.5,808.1,48.3
293,09,freistaat bayern,09661,aschaffenburg,908.5,1185.4,120.4
294,09,freistaat bayern,09662,schweinfurt,436.9,1388.7,179.0
295,09,freistaat bayern,09663,wuerzburg,1787.8,1095.6,118.6
296,09,freistaat bayern,09671,aschaffenburg,639.0,1108.1,51.6
297,09,freistaat bayern,09672,bad kissingen,738.9,782.2,46.5
298,09,freistaat bayern,09673,rhoen-grabfeld,1006.8,772.8,58.1
299,09,freistaat bayern,09674,hassberge,903.5,830.2,49.1
300,09,freistaat bayern,09675,kitzingen,554.0,1003.9,56.4
301,09,freistaat bayern,09676,miltenberg,920.9,912.6,51.9
302,09,freistaat bayern,09677,main-spessart,865.2,981.2,59.9
303,09,freistaat bayern,09678,schweinfurt,483.8,843.5,32.6
304,09,freistaat bayern,09679,wuerzburg,639.9,901.0,37.6
305,09,freistaat bayern,09761,augsburg,1391.4,942.1,95.3
306,09,freistaat bayern,09762,kaufbeuren,591.0,807.7,55.5
